"Story","Title","Result","Date","Stability","Duration (s)"
"Flujo de compra en SauceDemo","Compra exitosa","PENDING","2026-04-09T00:09:57.0976693-05:00[America/Guayaquil]","0.0","0.42"
"Purchase flow in SauceDemo","Successful purchase","SUCCESS","2026-04-09T00:12:34.689993-05:00[America/Guayaquil]","0.0","7.15"
